week,home_team,away_team,spread,favorite_team,commence_time_mt
4,New York Giants,Dallas Cowboys,-6,Dallas Cowboys,2024-09-26 18:15:00 MDT
4,Atlanta Falcons,New Orleans Saints,-1,Atlanta Falcons,2024-09-29 11:00:00 MDT
4,Carolina Panthers,Cincinnati Bengals,-4,Cincinnati Bengals,2024-09-29 11:00:00 MDT
4,Chicago Bears,Los Angeles Rams,-3,Chicago Bears,2024-09-29 11:00:00 MDT
4,New York Jets,Denver Broncos,-8,New York Jets,2024-09-29 11:00:00 MDT
4,Green Bay Packers,Minnesota Vikings,-3,Green Bay Packers,2024-09-29 11:00:00 MDT
4,Houston Texans,Jacksonville Jaguars,-6.5,Houston Texans,2024-09-29 11:00:00 MDT
4,Indianapolis Colts,Pittsburgh Steelers,-1,Pittsburgh Steelers,2024-09-29 11:00:00 MDT
4,Tampa Bay Buccaneers,Philadelphia Eagles,-1,Philadelphia Eagles,2024-09-29 11:00:00 MDT
4,Arizona Cardinals,Washington Commanders,-3.5,Arizona Cardinals,2024-09-29 14:05:00 MDT
4,San Francisco 49ers,New England Patriots,-10,San Francisco 49ers,2024-09-29 14:05:00 MDT
4,Las Vegas Raiders,Cleveland Browns,-1,Las Vegas Raiders,2024-09-29 14:25:00 MDT
4,Los Angeles Chargers,Kansas City Chiefs,-8,Kansas City Chiefs,2024-09-29 14:25:00 MDT
4,Baltimore Ravens,Buffalo Bills,-1,Baltimore Ravens,2024-09-29 18:20:00 MDT
4,Miami Dolphins,Tennessee Titans,-1,Miami Dolphins,2024-09-30 17:30:00 MDT
4,Detroit Lions,Seattle Seahawks,-3.5,Detroit Lions,2024-09-30 18:15:00 MDT
