home_team,away_team,spread,favorite_team,commence_time_mt
Seattle Seahawks,San Francisco 49ers,-3.5,San Francisco 49ers,2024-10-10 18:15:00 MDT
Chicago Bears,Jacksonville Jaguars,-2.5,Chicago Bears,2024-10-13 07:30:00 MDT
Green Bay Packers,Arizona Cardinals,-5.0,Green Bay Packers,2024-10-13 11:00:00 MDT
Baltimore Ravens,Washington Commanders,-6.5,Baltimore Ravens,2024-10-13 11:00:00 MDT
Philadelphia Eagles,Cleveland Browns,-8.5,Philadelphia Eagles,2024-10-13 11:00:00 MDT
New England Patriots,Houston Texans,-7.0,Houston Texans,2024-10-13 11:00:00 MDT
Tennessee Titans,Indianapolis Colts,-1.0,Tennessee Titans,2024-10-13 11:00:00 MDT
New Orleans Saints,Tampa Bay Buccaneers,-3.5,Tampa Bay Buccaneers,2024-10-13 11:00:00 MDT
Denver Broncos,Los Angeles Chargers,-3.0,Los Angeles Chargers,2024-10-13 14:05:00 MDT
Las Vegas Raiders,Pittsburgh Steelers,-3.0,Pittsburgh Steelers,2024-10-13 14:05:00 MDT
Carolina Panthers,Atlanta Falcons,-6.0,Atlanta Falcons,2024-10-13 14:25:00 MDT
Dallas Cowboys,Detroit Lions,-3.0,Detroit Lions,2024-10-13 14:25:00 MDT
New York Giants,Cincinnati Bengals,-3.0,Cincinnati Bengals,2024-10-13 18:20:00 MDT
New York Jets,Buffalo Bills,-2.5,Buffalo Bills,2024-10-14 18:15:00 MDT
